topic,alpha,word,weight
22,0.3333333333333333,前,357
22,0.3333333333333333,亂,349
22,0.3333333333333333,半,344
22,0.3333333333333333,後,280
22,0.3333333333333333,纔,242
23,0.3333333333333333,鄉,1290
23,0.3333333333333333,歸,1053
23,0.3333333333333333,故,997
23,0.3333333333333333,里,921
23,0.3333333333333333,客,744
23,0.3333333333333333,路,636
23,0.3333333333333333,遠,614
23,0.3333333333333333,去,593
23,0.3333333333333333,思,559
23,0.3333333333333333,行,536
23,0.3333333333333333,山,523
23,0.3333333333333333,千,507
23,0.3333333333333333,萬,497
23,0.3333333333333333,暮,460
23,0.3333333333333333,望,446
23,0.3333333333333333,日,392
23,0.3333333333333333,旅,375
23,0.3333333333333333,獨,300
23,0.3333333333333333,送,283
23,0.3333333333333333,歲,273
24,0.3333333333333333,花,1382
24,0.3333333333333333,紅,1061
24,0.3333333333333333,香,871
24,0.3333333333333333,枝,746
24,0.3333333333333333,蝶,482
24,0.3333333333333333,春,461
24,0.3333333333333333,開,384
24,0.3333333333333333,露,369
24,0.3333333333333333,叢,304
24,0.3333333333333333,豔,302
24,0.3333333333333333,蕊,279
24,0.3333333333333333,粉,266
24,0.3333333333333333,繁,250
24,0.3333333333333333,芳,238
24,0.3333333333333333,丹,221
24,0.3333333333333333,滿,210
24,0.3333333333333333,似,194
24,0.3333333333333333,看,188
24,0.3333333333333333,綠,187
24,0.3333333333333333,新,184
25,0.3333333333333333,中,2074
25,0.3333333333333333,同,1548
25,0.3333333333333333,風,1276
25,0.3333333333333333,空,1231
25,0.3333333333333333,通,1199
25,0.3333333333333333,窮,906
25,0.3333333333333333,東,746
25,0.3333333333333333,與,584
25,0.3333333333333333,在,528
25,0.3333333333333333,翁,482
25,0.3333333333333333,公,383
25,0.3333333333333333,叢,344
25,0.3333333333333333,功,321
25,0.3333333333333333,外,297
25,0.3333333333333333,日,271
25,0.3333333333333333,宮,237
25,0.3333333333333333,鴻,232
25,0.3333333333333333,將,195
25,0.3333333333333333,一,181
25,0.3333333333333333,事,180
26,0.3333333333333333,貴,888
26,0.3333333333333333,不,782
26,0.3333333333333333,何,664
26,0.3333333333333333,身,609
26,0.3333333333333333,貧,520
26,0.3333333333333333,無,477
26,0.3333333333333333,富,436
26,0.3333333333333333,足,414
26,0.3333333333333333,賤,398
26,0.3333333333333333,如,394
26,0.3333333333333333,安,378
26,0.3333333333333333,且,377
26,0.3333333333333333,者,370
26,0.3333333333333333,自,364
26,0.3333333333333333,達,362
26,0.3333333333333333,道,362
26,0.3333333333333333,生,349
26,0.3333333333333333,榮,330
26,0.3333333333333333,多,326
26,0.3333333333333333,求,320
27,0.3333333333333333,名,1635
27,0.3333333333333333,生,1283
27,0.3333333333333333,無,766
27,0.3333333333333333,世,560
27,0.3333333333333333,有,544
27,0.3333333333333333,身,543
27,0.3333333333333333,為,542
27,0.3333333333333333,一,534
27,0.3333333333333333,人,528
27,0.3333333333333333,先,475
27,0.3333333333333333,不,456
27,0.3333333333333333,得,418
27,0.3333333333333333,第,416
27,0.3333333333333333,知,394
27,0.3333333333333333,利,392
27,0.3333333333333333,姓,346
27,0.3333333333333333,成,330
27,0.3333333333333333,與,307
27,0.3333333333333333,平,301
27,0.3333333333333333,終,300
28,0.3333333333333333,頭,975
28,0.3333333333333333,得,620
28,0.3333333333333333,似,582
28,0.3333333333333333,來,481
28,0.3333333333333333,一,479
28,0.3333333333333333,前,463
28,0.3333333333333333,眼,458
28,0.3333333333333333,破,427
28,0.3333333333333333,卻,420
28,0.3333333333333333,面,405
28,0.3333333333333333,著,397
28,0.3333333333333333,拋,332
28,0.3333333333333333,半,318
28,0.3333333333333333,兩,307
28,0.3333333333333333,教,268
28,0.3333333333333333,入,252
28,0.3333333333333333,上,252
28,0.3333333333333333,手,224
28,0.3333333333333333,把,205
28,0.3333333333333333,曾,204
29,0.3333333333333333,中,1027
29,0.3333333333333333,前,1012
29,0.3333333333333333,看,874
29,0.3333333333333333,裏,838
29,0.3333333333333333,向,800
29,0.3333333333333333,上,794
29,0.3333333333333333,來,693
29,0.3333333333333333,人,678
29,0.3333333333333333,邊,630
29,0.3333333333333333,到,581
29,0.3333333333333333,門,457
29,0.3333333333333333,下,418
29,0.3333333333333333,日,415
29,0.3333333333333333,卻,405
29,0.3333333333333333,見,393
29,0.3333333333333333,從,390
29,0.3333333333333333,得,375
29,0.3333333333333333,應,344
29,0.3333333333333333,後,336
29,0.3333333333333333,還,280
30,0.3333333333333333,紅,820
30,0.3333333333333333,輕,541
30,0.3333333333333333,金,531
30,0.3333333333333333,香,528
30,0.3333333333333333,翠,389
30,0.3333333333333333,玉,387
30,0.3333333333333333,畫,351
30,0.3333333333333333,小,338
30,0.3333333333333333,腰,318
30,0.3333333333333333,羅,316
30,0.3333333333333333,纖,303
30,0.3333333333333333,花,295
30,0.3333333333333333,眉,285
30,0.3333333333333333,細,275
30,0.3333333333333333,絲,267
30,0.3333333333333333,帶,244
30,0.3333333333333333,薄,240
30,0.3333333333333333,袖,233
30,0.3333333333333333,妝,230
30,0.3333333333333333,嫋,221
31,0.3333333333333333,獨,1352
31,0.3333333333333333,不,977
31,0.3333333333333333,何,948
31,0.3333333333333333,上,865
31,0.3333333333333333,自,836
